F/E-axis,ADD/ABD-axis,INT/EXT-axis,Motion %
-18.588960537440784,3.935568297391234,10.968518155219556,58
-18.88100207827572,4.013804914419136,11.031852306173384,59
-19.173043619110658,4.0920415314470375,11.095186457127216,60
-19.46183637104511,4.167415961900055,11.155945578734784,61
-19.747380334079075,4.2399282057781855,11.214129670996096,62
-20.03292429711304,4.312440449656319,11.272313763257406,63
-20.31381912674708,4.380387648570311,11.326987310352786,64
-20.593164245247802,4.44681316582959,11.380490675726191,65
-20.872509363748534,4.513238683088868,11.433994041099597,66
-21.14608892742563,4.5732997774975805,11.483226541474634,67
-21.41966849110273,4.633360871906293,11.532459041849672,68
-21.68092244100843,4.6897926976761966,11.584628675678323,69
-21.905199549599967,4.735336717529674,11.645609709867808,70
-22.129476658191496,4.7808807373831534,11.706590744057292,71
-22.35203224689364,4.821377904724979,11.766125767655936,72
-22.57286631570639,4.85682821955515,11.824214780663736,73
-22.79370038451913,4.892278534385322,11.88230379367154,74
-23.0175348967256,4.921903734606995,11.937906765990936,75
-23.242369556729965,4.949587229959168,11.992681058080864,76
-23.46720421673433,4.977270725311342,12.047455350170791,77
-23.702041822888862,4.999579375217037,12.09746214202586,78
-23.93687942904339,5.021888025122732,12.147468933880925,79
-24.175400807594617,5.043487712457253,12.195641998334205,80
-24.42497350333593,5.062960512078256,12.238313880582115,81
-24.67454619907725,5.0824333116992575,12.280985762830026,82
-24.931913911506324,5.102034225668229,12.318602174060716,83
-25.197076640623152,5.121763253985166,12.351163114274183,84
-25.462239369739972,5.141492282302103,12.383724054487647,85
-25.73774363356084,5.1641133378440465,12.406099427346128,86
-26.016695075616376,5.187698402460992,12.425079611086275,87
-26.29564651767192,5.211283467077937,12.444059794826426,88
-26.590718517855255,5.2347338429319885,12.455919811133215,89
-26.8857905180386,5.258184218786042,12.46777982744001,90
-27.185295035119488,5.281184530601705,12.47827358373666,91
-27.498097102893038,5.302834650302208,12.484668560002888,92
-27.810899170666566,5.3244847700027105,12.491063536269113,93
-28.132609783274976,5.344754770469134,12.49485812822845,94
-28.463228940718245,5.3636446517014775,12.496052335880899,95
-28.79384809816152,5.38253453293382,12.497246543533347,96
-29.1364690945032,5.398461743374113,12.495155184617545,97
-29.483090703811023,5.413401396883722,12.491968636845659,98
-29.82971231311884,5.42834105039333,12.488782089073773,99
